	Hochschulkurzname	Hochschulname	WKR_NR	SPD_Name	SPD_Adr	CDU_Name	CDU_Adr	Green_Name	Green_Adr	FDP_Name	FDP_Adr	Linke_Name	Linke_Adr	AFD_Name	AFD_Adr	Hochschultyp	Trägerschaft	Bundesland
0	Aachen FH	Fachhochschule Aachen	87.0	Ye-One Rhie	ye-one.rhie@bundestag.de	None	None	None	None	None	None	Andrej Hunko	andrej.hunko@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
1	Aachen TH	Rheinisch-Westfälische Technische Hochschule Aachen	87.0	Ye-One Rhie	ye-one.rhie@bundestag.de	None	None	None	None	None	None	Andrej Hunko	andrej.hunko@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
2	Aalen H	Hochschule Aalen - Technik und Wirtschaft	270.0	Leni Breymaier	leni.breymaier@bundestag.de	Roderich Kiesewetter	roderich.kiesewetter@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
3	Albstadt-Sigmaringen H	Hochschule Albstadt-Sigmaringen	295.0	Robin Mesarosch	robin.mesarosch@bundestag.de	Thomas Bareiß	thomas.bareiss@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
4	Alfter HfKuG	Alanus Hochschule für Kunst und Gesellschaft	98.0	None	None	Dr. Norbert Röttgen	norbert.roettgen@bundestag.de	None	None	Nicole Westig	nicole.westig@bundestag.de	None	None	Roger Beckamp	roger.beckamp@bundestag.de	Künstlerische Hochschulen	privat, staatlich anerkannt	Nordrhein-Westfalen
5	Amberg-Weiden OTH	Ostbayerische Technische Hochschule Amberg-Weiden	232.0	None	None	Susanne Hierl	susanne.hierl@bundestag.de	None	None	Nils Gründer	nils.gruender@bundestag.de	None	None	Peter Boehringer	peter.boehringer@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
6	Anhalt H	Hochschule Anhalt - Anhalt University of Applied Sciences	71.0	None	None	None	None	None	None	None	None	Jan Korte	jan.korte@bundestag.de	Kay-Uwe Ziegler	kay-uwe.ziegler@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Sachsen-Anhalt
7	Ansbach H	Hochschule für angewandte Wissenschaften Ansbach	241.0	None	None	Artur Auernhammer	artur.auernhammer@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
8	Aschaffenburg TH	Technische Hochschule Aschaffenburg	247.0	None	None	Andrea Lindholz	andrea.lindholz@bundestag.de	Niklas Wagener	niklas.wagener@bundestag.de	Karsten Klein	karsten.klein@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
9	Augsburg TH	Technische Hochschule Augsburg	252.0	Ulrike Bahr	ulrike.bahr@bundestag.de	Dr. Volker Ullrich	volker.ullrich@bundestag.de	Claudia Roth 	claudia.roth@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
10	Augsburg U	Universität Augsburg	252.0	Ulrike Bahr	ulrike.bahr@bundestag.de	Dr. Volker Ullrich	volker.ullrich@bundestag.de	Claudia Roth 	claudia.roth@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Bayern
11	Baden-Württemberg HfPol (Verw)	Hochschule für Polizei Baden-Württemberg	286.0	Derya Türk-Nachbaur	derya.tuerk-nachbaur@bundestag.de	Thorsten Frei	thorsten.frei@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Baden-Württemberg
12	Baden-Württemberg HRecht (Verw)	Hochschule für Rechtspflege Schwetzingen	278.0	None	None	Olav Gutting	olav.gutting@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Baden-Württemberg
13	Baden-Württemberg HVerw/Finanzen(Verw)	Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg	265.0	Macit Karaahmetoğlu	macit.karaahmetoglu@bundestag.de	Steffen Bilger	steffen.bilger@bundestag.de	Dr. Sandra Detzer	sandra.detzer@bundestag.de	None	None	None	None	Martin Hess	martin.hess@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Baden-Württemberg
14	Baden-Württemberg HVerw (Verw)	Hochschule für öffentliche Verwaltung Kehl	284.0	None	None	Dr. Wolfgang Schäuble	wolfgang.schaeuble@bundestag.de	None	None	Martin Gassner-Herz	martin.gassner-herz@bundestag.de	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Baden-Württemberg
15	Bad Homburg accadisFH	accadis Hochschule Bad Homburg	176.0	None	None	Markus Koob	markus.koob@bundestag.de	None	None	Katja Adler	katja.adler@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
16	Bad Liebenzell IHL	Internationale Hochschule Liebenzell (IHL)	280.0	Saskia Esken	saskia.esken@bundestag.de	Klaus Mack	klaus.mack@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Baden-Württemberg
17	Bamberg U	Otto-Friedrich-Universität Bamberg	236.0	Andreas Schwarz	andreas.schwarz@bundestag.de	Thomas Silberhorn	thomas.silberhorn@bundestag.de	Lisa Badum	lisa.badum@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Bayern
18	Bayern HVerw (Verw)	Hochschule für den öffentlichen Dienst in Bayern	218.0	Claudia Tausend	claudia.tausend@bundestag.de	Dr. Wolfgang Stefinger	wolfgang.stefinger@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Bayern
19	Bayreuth HfKiM	Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern	237.0	Anette Kramme	anette.kramme@bundestag.de	Dr. Silke Launert	silke.launert@bundestag.de	None	None	Thomas Hacker	thomas.hacker@bundestag.de	None	None	Tobias Matthias Peterka	tobias.peterka@bundestag.de	Künstlerische Hochschulen	kirchlich, staatlich anerkannt	Bayern
20	Bayreuth U	Universität Bayreuth	237.0	Anette Kramme	anette.kramme@bundestag.de	Dr. Silke Launert	silke.launert@bundestag.de	None	None	Thomas Hacker	thomas.hacker@bundestag.de	None	None	Tobias Matthias Peterka	tobias.peterka@bundestag.de	Universitäten	öffentlich-rechtlich	Bayern
21	Berlin Akkon	Akkon-Hochschule	81.0	Kevin Kühnert	kevin.kuehnert@bundestag.de	Dr. Jan-Marco Luczak	jan-marco.luczak@bundestag.de	Renate Künast	renate.kuenast@bundestag.de	Lars Lindemann	lars.lindemann@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
22	Berlin ASH	Alice Salomon Hochschule Berlin	85.0	None	None	Mario Czaja	mario.czaja@bundestag.de	None	None	None	None	Petra Pau	petra.pau@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Berlin
23	Berlin bbw	bbw Hochschule	84.0	Ana-Maria Trăsnea	ana-maria-trasnea@bundestag.de.	None	None	None	None	None	None	Dr. Gregor Gysi	gregor.gysi@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
24	Berlin BC	Bard College Berlin, A Liberal Arts University	76.0	None	None	None	None	Stefan Gelbhaar	stefan.gelbhaar@bundestag.de	Daniela Kluckert	daniela.kluckert@bundestag.de	None	None	Dr. Götz Frömming	goetz.froemming@bundestag.de	Universitäten	privat, staatlich anerkannt	Berlin
25	Berlin BHT	Berliner Hochschule für Technik	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Berlin
26	Berlin BIU	Berlin International University of Applied Sciences	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
27	Berlin BSA	Barenboim-Said Akademie	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Künstlerische Hochschulen	privat, staatlich anerkannt	Berlin
28	Berlin BSP	BSP Business and Law School - Hochschule für Management und Recht	79.0	Ruppert Stüwe	ruppert.stuewe@bundestag.de	Thomas Heilmann	thomas.heilmann@bundestag.de	Nina Stahr	nina.stahr@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
29	Berlin CODE	CODE University of Applied Sciences	84.0	Ana-Maria Trăsnea	ana-maria-trasnea@bundestag.de.	None	None	None	None	None	None	Dr. Gregor Gysi	gregor.gysi@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
30	Berlin DBU	Digital Business University of Applied Sciences	83.0	None	None	None	None	Canan Bayram	canan.bayram@bundestag.de	None	None	Pascal Meiser	pascal.meiser@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
31	Berlin DEKRA	DEKRA Hochschule für Medien	83.0	None	None	None	None	Canan Bayram	canan.bayram@bundestag.de	None	None	Pascal Meiser	pascal.meiser@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
32	Berlin DHGS	DHGS Deutsche Hochschule für Gesundheit und Sport	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
33	Berlin ESCP	ESCP Europe Wirtschaftshochschule Berlin e.V.	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Universitäten	privat, staatlich anerkannt	Berlin
